home,score,away,year,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France ,4–1, Mexico,1930.0,,,,,,
Uruguay ,4–2, Argentina,1930.0,,,,,,
Uruguay ,6–1,Yugoslavia,1930.0,,,,,,
Argentina ,6–1, United States,1930.0,,,,,,
Paraguay ,1–0, Belgium,1930.0,,,,,,
United States ,3–0, Paraguay,1930.0,,,,,,
Uruguay ,4–0, Romania,1930.0,,,,,,
Uruguay ,1–0, Peru,1930.0,,,,,,
Romania ,3–1, Peru,1930.0,,,,,,
United States ,3–0, Belgium,1930.0,,,,,,
Yugoslavia ,4–0, Bolivia,1930.0,,,,,,
Yugoslavia ,2–1, Brazil,1930.0,,,,,,
Argentina ,3–1, Chile,1930.0,,,,,,
Argentina ,6–3, Mexico,1930.0,,,,,,
Chile ,1–0, France,1930.0,,,,,,
Chile ,3–0, Mexico,1930.0,,,,,,
Argentina ,1–0, France,1930.0,,,,,,
Brazil ,4–0, Bolivia,1930.0,,,,,,
Italy ,1–1 (a.e.t.), Spain,1934.0,,,,,,
Italy ,2–1 (a.e.t.), Czechoslovakia,1934.0,,,,,,
Germany ,3–2, Austria,1934.0,,,,,,
Italy ,1–0, Austria,1934.0,,,,,,
Italy ,1–0, Spain,1934.0,,,,,,
Czechoslovakia ,3–2, Switzerland,1934.0,,,,,,
Germany ,2–1, Sweden,1934.0,,,,,,
Austria ,2–1, Hungary,1934.0,,,,,,
Czechoslovakia ,3–1, Germany,1934.0,,,,,,
Austria ,3–2 (a.e.t.), France,1934.0,,,,,,
Sweden ,3–2, Argentina,1934.0,,,,,,
Czechoslovakia ,2–1, Romania,1934.0,,,,,,
Italy ,7–1, United States,1934.0,,,,,,
Switzerland ,3–2, Netherlands,1934.0,,,,,,
Hungary ,4–2, Egypt,1934.0,,,,,,
Spain ,3–1, Brazil,1934.0,,,,,,
Germany ,5–2, Belgium,1934.0,,,,,,
Sweden ,8–0, Cuba,1938.0,,,,,,
Italy ,3–1, France,1938.0,,,,,,
Brazil ,1–1 (a.e.t.), Czechoslovakia,1938.0,,,,,,
Brazil ,4–2, Sweden,1938.0,,,,,,
Hungary ,5–1, Sweden,1938.0,,,,,,
Italy ,2–1, Brazil,1938.0,,,,,,
Italy ,4–2, Hungary,1938.0,,,,,,
Brazil ,2–1, Czechoslovakia,1938.0,,,,,,
Cuba ,2–1, Romania,1938.0,,,,,,
Hungary ,2–0, Switzerland,1938.0,,,,,,
Czechoslovakia ,3–0 (a.e.t.), Netherlands,1938.0,,,,,,
Brazil ,6–5 (a.e.t.), Poland,1938.0,,,,,,
Italy ,2–1 (a.e.t.), Norway,1938.0,,,,,,
France ,3–1, Belgium,1938.0,,,,,,
Cuba ,3–3 (a.e.t.), Romania,1938.0,,,,,,
Sweden ,w/o[a], Austria,1938.0,,,,,,
Hungary ,6–0, Dutch East Indies,1938.0,,,,,,
Switzerland ,1–1 (a.e.t.), Germany,1938.0,,,,,,
Switzerland ,4–2, Germany,1938.0,,,,,,
Sweden ,2–2, Paraguay,1950.0,,,,,,
Italy ,2–0, Paraguay,1950.0,,,,,,
Uruguay ,8–0, Bolivia,1950.0,,,,,,
Uruguay ,2–2, Spain,1950.0,,,,,,
Uruguay ,2–1, Brazil,1950.0,,,,,,
Brazil ,6–1, Spain,1950.0,,,,,,
Uruguay ,3–2, Sweden,1950.0,,,,,,
Sweden ,3–1, Spain,1950.0,,,,,,
Sweden ,3–2, Italy,1950.0,,,,,,
Brazil ,7–1, Sweden,1950.0,,,,,,
Chile ,5–2, United States,1950.0,,,,,,
Switzerland ,2–1, Mexico,1950.0,,,,,,
United States ,1–0, England,1950.0,,,,,,
Spain ,2–0, Chile,1950.0,,,,,,
Spain ,3–1, United States,1950.0,,,,,,
England ,2–0, Chile,1950.0,,,,,,
Brazil ,2–0, Yugoslavia,1950.0,,,,,,
Yugoslavia ,4–1, Mexico,1950.0,,,,,,
Brazil ,2–2, Switzerland,1950.0,,,,,,
Yugoslavia ,3–0, Switzerland,1950.0,,,,,,
Brazil ,4–0, Mexico,1950.0,,,,,,
Spain ,1–0, England,1950.0,,,,,,
Italy ,4–1, Belgium,1954.0,,,,,,
Switzerland ,4–1, Italy,1954.0,,,,,,
Austria ,7–5, Switzerland,1954.0,,,,,,
Uruguay ,4–2, England,1954.0,,,,,,
Austria ,3–1, Uruguay,1954.0,,,,,,
Hungary ,4–2, Brazil,1954.0,,,,,,
West Germany ,6–1, Austria,1954.0,,,,,,
Hungary ,4–2 (a.e.t.), Uruguay,1954.0,,,,,,
England ,4–4 (a.e.t.), Belgium,1954.0,,,,,,
West Germany ,3–2, Hungary,1954.0,,,,,,
West Germany ,2–0, Yugoslavia,1954.0,,,,,,
Switzerland ,2–1, Italy,1954.0,,,,,,
England ,2–0, Switzerland,1954.0,,,,,,
Uruguay ,7–0, Scotland,1954.0,,,,,,
Austria ,5–0, Czechoslovakia,1954.0,,,,,,
Brazil ,5–0, Mexico,1954.0,,,,,,
Yugoslavia ,1–0, France,1954.0,,,,,,
France ,3–2, Mexico,1954.0,,,,,,
West Germany ,4–1, Turkey,1954.0,,,,,,
Brazil ,1–1 (a.e.t.), Yugoslavia,1954.0,,,,,,
Hungary ,8–3, West Germany,1954.0,,,,,,
Turkey ,7–0, South Korea,1954.0,,,,,,
West Germany ,7–2, Turkey,1954.0,,,,,,
Uruguay ,2–0, Czechoslovakia,1954.0,,,,,,
Austria ,1–0, Scotland,1954.0,,,,,,
Hungary ,9–0, South Korea,1954.0,,,,,,
Brazil ,2–0, Soviet Union,1958.0,,,,,,
Brazil ,3–0, Austria,1958.0,,,,,,
Soviet Union ,2–2, England,1958.0,,,,,,
Brazil ,0–0, England,1958.0,,,,,,
Soviet Union ,2–0, Austria,1958.0,,,,,,
England ,2–2, Austria,1958.0,,,,,,
Soviet Union ,1–0, England,1958.0,,,,,,
France ,6–3, West Germany,1958.0,,,,,,
France ,4–0, Northern Ireland,1958.0,,,,,,
Sweden ,2–0, Soviet Union,1958.0,,,,,,
West Germany ,1–0, Yugoslavia,1958.0,,,,,,
Brazil ,5–2, France,1958.0,,,,,,
Sweden ,3–1, West Germany,1958.0,,,,,,
Brazil ,5–2, Sweden,1958.0,,,,,,
Wales ,2–1, Hungary,1958.0,,,,,,
Brazil ,1–0, Wales,1958.0,,,,,,
Hungary ,4–0, Mexico,1958.0,,,,,,
Czechoslovakia ,6–1, Argentina,1958.0,,,,,,
Sweden ,2–1, Hungary,1958.0,,,,,,
Sweden ,0–0, Wales,1958.0,,,,,,
Argentina ,1–3, West Germany,1958.0,,,,,,
West Germany ,2–2, Czechoslovakia,1958.0,,,,,,
Argentina ,3–1, Northern Ireland,1958.0,,,,,,
West Germany ,2–2, Northern Ireland,1958.0,,,,,,
Northern Ireland ,2–1 (a.e.t.), Czechoslovakia,1958.0,,,,,,
France ,7–3, Paraguay,1958.0,,,,,,
Northern Ireland ,1–0, Czechoslovakia,1958.0,,,,,,
Yugoslavia ,3–2, France,1958.0,,,,,,
Paraguay ,3–2, Scotland,1958.0,,,,,,
France ,2–1, Scotland,1958.0,,,,,,
Paraguay ,3–3, Yugoslavia,1958.0,,,,,,
Sweden ,3–0, Mexico,1958.0,,,,,,
Hungary ,1–1, Wales,1958.0,,,,,,
Mexico ,1–1, Wales,1958.0,,,,,,
Yugoslavia ,1–1, Scotland,1958.0,,,,,,
Argentina ,1–0, Bulgaria,1962.0,,,,,,
Hungary ,2–1, England,1962.0,,,,,,
England ,3–1, Argentina,1962.0,,,,,,
Hungary ,6–1, Bulgaria,1962.0,,,,,,
Hungary ,0–0, Argentina,1962.0,,,,,,
England ,0–0, Bulgaria,1962.0,,,,,,
Yugoslavia ,1–0, West Germany,1962.0,,,,,,
Czechoslovakia ,1–0, Hungary,1962.0,,,,,,
Brazil ,3–1, England,1962.0,,,,,,
Czechoslovakia ,3–1, Yugoslavia,1962.0,,,,,,
Brazil ,4–2, Chile,1962.0,,,,,,
Mexico ,3–1, Czechoslovakia,1962.0,,,,,,
Brazil ,3–1, Czechoslovakia,1962.0,,,,,,
Chile ,2–1, Soviet Union,1962.0,,,,,,
Brazil ,2–1, Spain,1962.0,,,,,,
Chile ,1–0, Yugoslavia,1962.0,,,,,,
Brazil ,0–0, Czechoslovakia,1962.0,,,,,,
Uruguay ,2–1, Colombia,1962.0,,,,,,
Soviet Union ,2–0, Yugoslavia,1962.0,,,,,,
Yugoslavia ,3–1, Uruguay,1962.0,,,,,,
Soviet Union ,4–4, Colombia,1962.0,,,,,,
Soviet Union ,2–1, Uruguay,1962.0,,,,,,
Yugoslavia ,5–0, Colombia,1962.0,,,,,,
Chile ,3–1, Switzerland,1962.0,,,,,,
Spain ,1–0, Mexico,1962.0,,,,,,
Chile ,2–0, Italy,1962.0,,,,,,
West Germany ,2–1, Switzerland,1962.0,,,,,,
West Germany ,2–0, Chile,1962.0,,,,,,
Italy ,3–0, Switzerland,1962.0,,,,,,
Brazil ,2–0, Mexico,1962.0,,,,,,
Czechoslovakia ,1–0, Spain,1962.0,,,,,,
West Germany ,0–0, Italy,1962.0,,,,,,
Hungary ,3–1, Bulgaria,1966.0,,,,,,
Soviet Union ,3–0, North Korea,1966.0,,,,,,
Italy ,2–0, Chile,1966.0,,,,,,
Chile ,1–1, North Korea,1966.0,,,,,,
Soviet Union ,1–0, Italy,1966.0,,,,,,
North Korea ,1–0, Italy,1966.0,,,,,,
Soviet Union ,2–1, Chile,1966.0,,,,,,
Soviet Union ,2–1, Hungary,1966.0,,,,,,
West Germany ,4–0, Uruguay,1966.0,,,,,,
Portugal ,5–3, North Korea,1966.0,,,,,,
West Germany ,2–1, Soviet Union,1966.0,,,,,,
England ,2–1, Portugal,1966.0,,,,,,
Portugal ,2–1, Soviet Union,1966.0,,,,,,
Portugal ,3–1, Brazil,1966.0,,,,,,
England ,1–0, Argentina,1966.0,,,,,,
England ,4–2 (a.e.t.), West Germany,1966.0,,,,,,
Portugal ,3–0, Bulgaria,1966.0,,,,,,
Portugal ,3–1, Hungary,1966.0,,,,,,
Hungary ,3–1, Brazil,1966.0,,,,,,
England ,0–0, Uruguay,1966.0,,,,,,
France ,1–1, Mexico,1966.0,,,,,,
Uruguay ,2–1, France,1966.0,,,,,,
Mexico ,0–0, Uruguay,1966.0,,,,,,
England ,2–0, France,1966.0,,,,,,
England ,2–0, Mexico,1966.0,,,,,,
Argentina ,2–1, Spain,1966.0,,,,,,
Spain ,2–1, Switzerland,1966.0,,,,,,
Argentina ,0–0, West Germany,1966.0,,,,,,
Argentina ,2–0, Switzerland,1966.0,,,,,,
West Germany ,2–1, Spain,1966.0,,,,,,
Brazil ,2–0, Bulgaria,1966.0,,,,,,
West Germany ,5–0, Switzerland,1966.0,,,,,,
Bulgaria ,1–1, Morocco,1970.0,,,,,,
West Germany ,2–1, Morocco,1970.0,,,,,,
Peru ,3–0, Morocco,1970.0,,,,,,
West Germany ,5–2, Bulgaria,1970.0,,,,,,
West Germany ,3–1, Peru,1970.0,,,,,,
Soviet Union ,0–1 (a.e.t.), Uruguay,1970.0,,,,,,
Peru ,3–2, Bulgaria,1970.0,,,,,,
Brazil ,4–2, Peru,1970.0,,,,,,
West Germany ,3–2 (a.e.t.), England,1970.0,,,,,,
Uruguay ,1–3, Brazil,1970.0,,,,,,
Italy ,4–3 (a.e.t.), West Germany,1970.0,,,,,,
Uruguay ,0–1, West Germany,1970.0,,,,,,
Brazil ,4–1, Italy,1970.0,,,,,,
Italy ,4–1, Mexico,1970.0,,,,,,
Brazil ,3–2, Romania,1970.0,,,,,,
England ,1–0, Czechoslovakia,1970.0,,,,,,
Romania ,2–1, Czechoslovakia,1970.0,,,,,,
Mexico ,0–0, Soviet Union,1970.0,,,,,,
Belgium ,3–0, El Salvador,1970.0,,,,,,
Soviet Union ,4–1, Belgium,1970.0,,,,,,
Mexico ,4–0, El Salvador,1970.0,,,,,,
Mexico ,1–0, Belgium,1970.0,,,,,,
Uruguay ,2–0, Israel,1970.0,,,,,,
Italy ,1–0, Sweden,1970.0,,,,,,
Soviet Union ,2–0, El Salvador,1970.0,,,,,,
Sweden ,1–1, Israel,1970.0,,,,,,
Sweden ,1–0, Uruguay,1970.0,,,,,,
Italy ,0–0, Israel,1970.0,,,,,,
England ,1–0, Romania,1970.0,,,,,,
Brazil ,4–1, Czechoslovakia,1970.0,,,,,,
Brazil ,1–0, England,1970.0,,,,,,
Uruguay ,0–0, Italy,1970.0,,,,,,
Argentina ,1–1, East Germany,1974.0,,,,,,
Argentina ,4–1, Haiti,1974.0,,,,,,
Poland ,2–1, Italy,1974.0,,,,,,
Netherlands ,4–0, Argentina,1974.0,,,,,,
Brazil ,1–0, East Germany,1974.0,,,,,,
Argentina ,1–2, Brazil,1974.0,,,,,,
East Germany ,0–2, Netherlands,1974.0,,,,,,
Netherlands ,2–0, Brazil,1974.0,,,,,,
Netherlands ,1–2, West Germany,1974.0,,,,,,
Sweden ,0–1, Poland,1974.0,,,,,,
Poland ,2–1, Yugoslavia,1974.0,,,,,,
West Germany ,4–2, Sweden,1974.0,,,,,,
Poland ,0–1, West Germany,1974.0,,,,,,
Sweden ,2–1, Yugoslavia,1974.0,,,,,,
Brazil ,0–1, Poland,1974.0,,,,,,
Haiti ,0–7, Poland,1974.0,,,,,,
Yugoslavia ,0–2, West Germany,1974.0,,,,,,
Poland ,3–2, Argentina,1974.0,,,,,,
Argentina ,1–1, Italy,1974.0,,,,,,
Sweden ,3–0, Uruguay,1974.0,,,,,,
Italy ,3–1, Haiti,1974.0,,,,,,
East Germany ,2–0, Australia,1974.0,,,,,,
Australia ,0–3, West Germany,1974.0,,,,,,
Chile ,1–1, East Germany,1974.0,,,,,,
Australia ,0–0, Chile,1974.0,,,,,,
East Germany ,1–0, West Germany,1974.0,,,,,,
Brazil ,0–0, Yugoslavia,1974.0,,,,,,
Zaire ,0–2, Scotland,1974.0,,,,,,
Yugoslavia ,9–0, Zaire,1974.0,,,,,,
West Germany ,1–0, Chile,1974.0,,,,,,
Scotland ,1–1, Yugoslavia,1974.0,,,,,,
Zaire ,0–3, Brazil,1974.0,,,,,,
Uruguay ,0–2, Netherlands,1974.0,,,,,,
Sweden ,0–0, Bulgaria,1974.0,,,,,,
Bulgaria ,1–1, Uruguay,1974.0,,,,,,
Netherlands ,0–0, Sweden,1974.0,,,,,,
Bulgaria ,1–4, Netherlands,1974.0,,,,,,
Scotland ,0–0, Brazil,1974.0,,,,,,
Netherlands ,0–0, Peru,1978.0,,,,,,
Peru ,4–1, Iran,1978.0,,,,,,
Scotland ,3–2, Netherlands,1978.0,,,,,,
Austria ,1–5, Netherlands,1978.0,,,,,,
Italy ,0–0, West Germany,1978.0,,,,,,
Netherlands ,2–2, West Germany,1978.0,,,,,,
Italy ,1–0, Austria,1978.0,,,,,,
Austria ,3–2, West Germany,1978.0,,,,,,
Peru ,0–1, Poland,1978.0,,,,,,
Brazil ,3–0, Peru,1978.0,,,,,,
Argentina ,2–0, Poland,1978.0,,,,,,
Argentina ,0–0, Brazil,1978.0,,,,,,
Brazil ,3–1, Poland,1978.0,,,,,,
Argentina ,6–0, Peru,1978.0,,,,,,
Brazil ,2–1, Italy,1978.0,,,,,,
Argentina ,3–1 (a.e.t.), Netherlands,1978.0,,,,,,
Scotland ,1–1, Iran,1978.0,,,,,,
Italy ,1–2, Netherlands,1978.0,,,,,,
Netherlands ,3–0, Iran,1978.0,,,,,,
France ,3–1, Hungary,1978.0,,,,,,
Brazil ,1–0, Austria,1978.0,,,,,,
Peru ,3–1, Scotland,1978.0,,,,,,
Italy ,2–1, France,1978.0,,,,,,
Argentina ,2–1, Hungary,1978.0,,,,,,
Italy ,3–1, Hungary,1978.0,,,,,,
Argentina ,0–1, Italy,1978.0,,,,,,
West Germany ,0–0, Poland,1978.0,,,,,,
Tunisia ,3–1, Mexico,1978.0,,,,,,
West Germany ,6–0, Mexico,1978.0,,,,,,
Argentina ,2–1, France,1978.0,,,,,,
West Germany ,0–0, Tunisia,1978.0,,,,,,
Poland ,3–1, Mexico,1978.0,,,,,,
Austria ,2–1, Spain,1978.0,,,,,,
Brazil ,1–1, Sweden,1978.0,,,,,,
Austria ,1–0, Sweden,1978.0,,,,,,
Brazil ,0–0, Spain,1978.0,,,,,,
Poland ,1–0, Tunisia,1978.0,,,,,,
Spain ,1–0, Sweden,1978.0,,,,,,
Poland ,3–0, Belgium,1982.0,,,,,,
Brazil ,4–0, New Zealand,1982.0,,,,,,
Soviet Union ,2–2, Scotland,1982.0,,,,,,
Soviet Union ,3–0, New Zealand,1982.0,,,,,,
Italy ,3–1, West Germany,1982.0,,,,,,
Brazil ,2–1, Soviet Union,1982.0,,,,,,
Scotland ,5–2, New Zealand,1982.0,,,,,,
Spain ,0–1, Northern Ireland,1982.0,,,,,,
Belgium ,0–1, Soviet Union,1982.0,,,,,,
Honduras ,0–1, Yugoslavia,1982.0,,,,,,
Brazil ,4–1, Scotland,1982.0,,,,,,
Soviet Union ,0–0, Poland,1982.0,,,,,,
France ,4–1, Northern Ireland,1982.0,,,,,,
West Germany ,2–1, Spain,1982.0,,,,,,
Spain ,0–0, England,1982.0,,,,,,
Italy ,2–1, Argentina,1982.0,,,,,,
Argentina ,1–3, Brazil,1982.0,,,,,,
Italy ,3–2, Brazil,1982.0,,,,,,
Austria ,0–1, France,1982.0,,,,,,
Austria ,2–2, Northern Ireland,1982.0,,,,,,
Poland ,0–2, Italy,1982.0,,,,,,
West Germany ,3-3 (a.e.t.), France,1982.0,,,,,,
Poland ,3–2, France,1982.0,,,,,,
Honduras ,1–1, Northern Ireland,1982.0,,,,,,
West Germany ,0–0, England,1982.0,,,,,,
Spain ,2–1, Yugoslavia,1982.0,,,,,,
England ,3–1, France,1982.0,,,,,,
Spain ,1–1, Honduras,1982.0,,,,,,
Italy ,0–0, Poland,1982.0,,,,,,
Peru ,0–0, Cameroon,1982.0,,,,,,
Italy ,1–1, Peru,1982.0,,,,,,
Poland ,0–0, Cameroon,1982.0,,,,,,
Poland ,5–1, Peru,1982.0,,,,,,
Italy ,1–1, Cameroon,1982.0,,,,,,
West Germany ,1–2, Algeria,1982.0,,,,,,
Chile ,0–1, Austria,1982.0,,,,,,
West Germany ,4–1, Chile,1982.0,,,,,,
Algeria ,0–2, Austria,1982.0,,,,,,
Algeria ,3–2, Chile,1982.0,,,,,,
Yugoslavia ,0–0, Northern Ireland,1982.0,,,,,,
Argentina ,0–1, Belgium,1982.0,,,,,,
Hungary ,10–1, El Salvador,1982.0,,,,,,
Argentina ,4–1, Hungary,1982.0,,,,,,
Belgium ,1–0, El Salvador,1982.0,,,,,,
Belgium ,1–1, Hungary,1982.0,,,,,,
Argentina ,2–0, El Salvador,1982.0,,,,,,
Czechoslovakia ,1–1, Kuwait,1982.0,,,,,,
England ,2–0, Czechoslovakia,1982.0,,,,,,
France ,4–1, Kuwait,1982.0,,,,,,
France ,1–1, Czechoslovakia,1982.0,,,,,,
England ,1–0, Kuwait,1982.0,,,,,,
West Germany ,1–0, Austria,1982.0,,,,,,
Mexico ,2–0, Bulgaria,1986.0,,,,,,
Portugal ,1–3, Morocco,1986.0,,,,,,
England ,3–0, Poland,1986.0,,,,,,
Poland ,1–0, Portugal,1986.0,,,,,,
Denmark ,6–1, Uruguay,1986.0,,,,,,
Portugal ,1–0, England,1986.0,,,,,,
Morocco ,0–0, Poland,1986.0,,,,,,
Scotland ,0–0, Uruguay,1986.0,,,,,,
Denmark ,2–0, West Germany,1986.0,,,,,,
Soviet Union ,3–4 (a.e.t.), Belgium,1986.0,,,,,,
England ,0–0, Morocco,1986.0,,,,,,
Brazil ,4–0, Poland,1986.0,,,,,,
Brazil ,1–1 (a.e.t.), France,1986.0,,,,,,
Italy ,0–2, France,1986.0,,,,,,
Morocco ,0–1, West Germany,1986.0,,,,,,
England ,3–0, Paraguay,1986.0,,,,,,
Denmark ,1–5, Spain,1986.0,,,,,,
West Germany ,0–0 (a.e.t.), Mexico,1986.0,,,,,,
Argentina ,2–1, England,1986.0,,,,,,
Spain ,1–1 (a.e.t.), Belgium,1986.0,,,,,,
France ,0–2, West Germany,1986.0,,,,,,
Argentina ,2–0, Belgium,1986.0,,,,,,
West Germany ,2–1, Scotland,1986.0,,,,,,
Argentina ,3–2, West Germany,1986.0,,,,,,
Argentina ,1–0, Uruguay,1986.0,,,,,,
Belgium ,2–4 (a.e.t.), France,1986.0,,,,,,
Scotland ,0–1, Denmark,1986.0,,,,,,
Algeria ,0–3, Spain,1986.0,,,,,,
Uruguay ,1–1, West Germany,1986.0,,,,,,
Bulgaria ,1–1, Italy,1986.0,,,,,,
Argentina ,3–1, South Korea,1986.0,,,,,,
Italy ,1–1, Argentina,1986.0,,,,,,
South Korea ,1–1, Bulgaria,1986.0,,,,,,
South Korea ,2–3, Italy,1986.0,,,,,,
Argentina ,2–0, Bulgaria,1986.0,,,,,,
Paraguay ,1–0, Iraq,1986.0,,,,,,
Mexico ,1–1, Paraguay,1986.0,,,,,,
Iraq ,1–2, Belgium,1986.0,,,,,,
Paraguay ,2–2, Belgium,1986.0,,,,,,
Belgium ,1–2, Mexico,1986.0,,,,,,
Canada ,0–1, France,1986.0,,,,,,
Iraq ,0–1, Mexico,1986.0,,,,,,
Northern Ireland ,1–2, Spain,1986.0,,,,,,
Brazil ,1–0, Algeria,1986.0,,,,,,
Algeria ,1–1, Northern Ireland,1986.0,,,,,,
Spain ,0–1, Brazil,1986.0,,,,,,
Northern Ireland ,0–3, Brazil,1986.0,,,,,,
Hungary ,0–3, France,1986.0,,,,,,
Hungary ,2–0, Canada,1986.0,,,,,,
France ,1–1, Soviet Union,1986.0,,,,,,
Soviet Union ,6–0, Hungary,1986.0,,,,,,
Soviet Union ,2–0, Canada,1986.0,,,,,,
Brazil ,0–1, Argentina,1990.0,,,,,,
Belgium ,1–2, Spain,1990.0,,,,,,
South Korea ,0–1, Uruguay,1990.0,,,,,,
England ,1–1, Republic of Ireland,1990.0,,,,,,
Netherlands ,1–1, Egypt,1990.0,,,,,,
England ,0–0, Netherlands,1990.0,,,,,,
Republic of Ireland ,0–0, Egypt,1990.0,,,,,,
England ,1–0, Egypt,1990.0,,,,,,
Republic of Ireland ,1–1, Netherlands,1990.0,,,,,,
Cameroon ,2–1 (a.e.t.), Colombia,1990.0,,,,,,
West Germany ,2–1, Netherlands,1990.0,,,,,,
South Korea ,1–3, Spain,1990.0,,,,,,
Italy ,2–0, Uruguay,1990.0,,,,,,
Spain ,1–2 (a.e.t.), Yugoslavia,1990.0,,,,,,
England ,1–0 (a.e.t.), Belgium,1990.0,,,,,,
Argentina ,0–0 (a.e.t.), Yugoslavia,1990.0,,,,,,
Republic of Ireland ,0–1, Italy,1990.0,,,,,,
Czechoslovakia ,0–1, West Germany,1990.0,,,,,,
Cameroon ,2–3 (a.e.t.), England,1990.0,,,,,,
Argentina ,1–1 (a.e.t.), Italy,1990.0,,,,,,
West Germany ,1–1 (a.e.t.), England,1990.0,,,,,,
Italy ,2–1, England,1990.0,,,,,,
West Germany ,1–0, Argentina,1990.0,,,,,,
Republic of Ireland ,0–0 (a.e.t.), Romania,1990.0,,,,,,
Belgium ,3–1, Uruguay,1990.0,,,,,,
Czechoslovakia ,4–1, Costa Rica,1990.0,,,,,,
Belgium ,2–0, South Korea,1990.0,,,,,,
United States ,1–5, Czechoslovakia,1990.0,,,,,,
Italy ,1–0, United States,1990.0,,,,,,
Austria ,0–1, Czechoslovakia,1990.0,,,,,,
Italy ,2–0, Czechoslovakia,1990.0,,,,,,
Austria ,2–1, United States,1990.0,,,,,,
Argentina ,0–1, Cameroon,1990.0,,,,,,
Soviet Union ,0–2, Romania,1990.0,,,,,,
Argentina ,2–0, Soviet Union,1990.0,,,,,,
Cameroon ,2–1, Romania,1990.0,,,,,,
Argentina ,1–1, Romania,1990.0,,,,,,
Cameroon ,0–4, Soviet Union,1990.0,,,,,,
Brazil ,2–1, Sweden,1990.0,,,,,,
Italy ,1–0, Austria,1990.0,,,,,,
Uruguay ,0–0, Spain,1990.0,,,,,,
Brazil ,1–0, Costa Rica,1990.0,,,,,,
Sweden ,1–2, Scotland,1990.0,,,,,,
Brazil ,1–0, Scotland,1990.0,,,,,,
Sweden ,1–2, Costa Rica,1990.0,,,,,,
United Arab Emirates ,0–2, Colombia,1990.0,,,,,,
West Germany ,4–1, Yugoslavia,1990.0,,,,,,
Yugoslavia ,1–0, Colombia,1990.0,,,,,,
West Germany ,5–1, United Arab Emirates,1990.0,,,,,,
West Germany ,1–1, Colombia,1990.0,,,,,,
Yugoslavia ,4–1, United Arab Emirates,1990.0,,,,,,
