home,score,away,year,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Costa Rica ,1–0, Scotland,1990.0,,,,,,
Spain ,3–0, Switzerland,1994.0,,,,,,
Germany ,3–2, Belgium,1994.0,,,,,,
Morocco ,1–2, Netherlands,1994.0,,,,,,
Belgium ,0–1, Saudi Arabia,1994.0,,,,,,
Republic of Ireland ,0–0, Norway,1994.0,,,,,,
Belgium ,1–0, Netherlands,1994.0,,,,,,
Netherlands ,2–1, Saudi Arabia,1994.0,,,,,,
Belgium ,1–0, Morocco,1994.0,,,,,,
Saudi Arabia ,1–3, Sweden,1994.0,,,,,,
Saudi Arabia ,2–1, Morocco,1994.0,,,,,,
Romania ,3–2, Argentina,1994.0,,,,,,
Netherlands ,2–3, Brazil,1994.0,,,,,,
Brazil ,1–0, United States,1994.0,,,,,,
Nigeria ,1–2 (a.e.t.), Italy,1994.0,,,,,,
Mexico ,1–1 (a.e.t.), Bulgaria,1994.0,,,,,,
Italy ,2–1, Spain,1994.0,,,,,,
Bulgaria ,2–1, Germany,1994.0,,,,,,
Romania ,2–2 (a.e.t.), Sweden,1994.0,,,,,,
Bulgaria ,1–2, Italy,1994.0,,,,,,
Sweden ,0–1, Brazil,1994.0,,,,,,
Sweden ,4–0, Bulgaria,1994.0,,,,,,
Brazil ,0–0 (a.e.t.), Italy,1994.0,,,,,,
Mexico ,2–1, Republic of Ireland,1994.0,,,,,,
Netherlands ,2–0, Republic of Ireland,1994.0,,,,,,
Italy ,1–0, Norway,1994.0,,,,,,
Italy ,1–1, Mexico,1994.0,,,,,,
Italy ,0–1, Republic of Ireland,1994.0,,,,,,
Norway ,1–0, Mexico,1994.0,,,,,,
United States ,1–1, Switzerland,1994.0,,,,,,
Colombia ,1–3, Romania,1994.0,,,,,,
Romania ,1–4, Switzerland,1994.0,,,,,,
United States ,2–1, Colombia,1994.0,,,,,,
Switzerland ,0–2, Colombia,1994.0,,,,,,
United States ,0–1, Romania,1994.0,,,,,,
Brazil ,2–0, Russia,1994.0,,,,,,
Brazil ,3–0, Cameroon,1994.0,,,,,,
Sweden ,3–1, Russia,1994.0,,,,,,
Russia ,6–1, Cameroon,1994.0,,,,,,
Brazil ,1–1, Sweden,1994.0,,,,,,
Cameroon ,2–2, Sweden,1994.0,,,,,,
Spain ,2–2, South Korea,1994.0,,,,,,
Greece ,0–2, Nigeria,1994.0,,,,,,
Germany ,1–0, Bolivia,1994.0,,,,,,
Argentina ,0–2, Bulgaria,1994.0,,,,,,
Bulgaria ,4–0, Greece,1994.0,,,,,,
Nigeria ,3–0, Bulgaria,1994.0,,,,,,
Argentina ,2–1, Nigeria,1994.0,,,,,,
Germany ,3–2, South Korea,1994.0,,,,,,
Bolivia ,1–3, Spain,1994.0,,,,,,
South Korea ,0–0, Bolivia,1994.0,,,,,,
Germany ,1–1, Spain,1994.0,,,,,,
Argentina ,4–0, Greece,1994.0,,,,,,
Argentina ,1–0, Croatia,1998.0,,,,,,
Argentina ,1–0, Japan,1998.0,,,,,,
Argentina ,5–0, Jamaica,1998.0,,,,,,
Japan ,0–1, Croatia,1998.0,,,,,,
Jamaica ,1–3, Croatia,1998.0,,,,,,
Romania ,1–1, Tunisia,1998.0,,,,,,
United States ,0–1, FR Yugoslavia,1998.0,,,,,,
Colombia ,1–0, Tunisia,1998.0,,,,,,
Romania ,1–0, Colombia,1998.0,,,,,,
England ,2–0, Tunisia,1998.0,,,,,,
Germany ,2–0, Iran,1998.0,,,,,,
Japan ,1–2, Jamaica,1998.0,,,,,,
Romania ,2–1, England,1998.0,,,,,,
Italy ,1–0, Norway,1998.0,,,,,,
France ,2–1, Croatia,1998.0,,,,,,
France ,1–0 (a.e.t.), Paraguay,1998.0,,,,,,
Nigeria ,1–4, Denmark,1998.0,,,,,,
Germany ,2–1, Mexico,1998.0,,,,,,
Netherlands ,2–1, FR Yugoslavia,1998.0,,,,,,
Romania ,0–1, Croatia,1998.0,,,,,,
Argentina ,2–2 (a.e.t.), England,1998.0,,,,,,
Italy ,0–0 (a.e.t.), France,1998.0,,,,,,
Brazil ,3–2, Denmark,1998.0,,,,,,
Netherlands ,2–1, Argentina,1998.0,,,,,,
Germany ,0–3, Croatia,1998.0,,,,,,
Brazil ,1–1 (a.e.t.), Netherlands,1998.0,,,,,,
Netherlands ,1–2, Croatia,1998.0,,,,,,
Brazil ,0–3, France,1998.0,,,,,,
United States ,1–2, Iran,1998.0,,,,,,
Brazil ,4–1, Chile,1998.0,,,,,,
Germany ,2–2, FR Yugoslavia,1998.0,,,,,,
Colombia ,0–2, England,1998.0,,,,,,
FR Yugoslavia ,1–0, Iran,1998.0,,,,,,
Morocco ,2–2, Norway,1998.0,,,,,,
Scotland ,1–1, Norway,1998.0,,,,,,
Brazil ,3–0, Morocco,1998.0,,,,,,
Scotland ,0–3, Morocco,1998.0,,,,,,
Brazil ,1–2, Norway,1998.0,,,,,,
Italy ,2–2, Chile,1998.0,,,,,,
Cameroon ,1–1, Austria,1998.0,,,,,,
Chile ,1–1, Austria,1998.0,,,,,,
Italy ,3–0, Cameroon,1998.0,,,,,,
Italy ,2–1, Austria,1998.0,,,,,,
Chile ,1–1, Cameroon,1998.0,,,,,,
Saudi Arabia ,0–1, Denmark,1998.0,,,,,,
France ,3–0, South Africa,1998.0,,,,,,
South Africa ,1–1, Denmark,1998.0,,,,,,
France ,4–0, Saudi Arabia,1998.0,,,,,,
Brazil ,2–1, Scotland,1998.0,,,,,,
South Africa ,2–2, Saudi Arabia,1998.0,,,,,,
France ,2–1, Denmark,1998.0,,,,,,
Belgium ,1–1, South Korea,1998.0,,,,,,
Netherlands ,2–2, Mexico,1998.0,,,,,,
Netherlands ,5–0, South Korea,1998.0,,,,,,
Belgium ,2–2, Mexico,1998.0,,,,,,
Netherlands ,0–0, Belgium,1998.0,,,,,,
South Korea ,1–3, Mexico,1998.0,,,,,,
Germany ,2–0, United States,1998.0,,,,,,
Nigeria ,1–3, Paraguay,1998.0,,,,,,
Spain ,0–0, Paraguay,1998.0,,,,,,
Nigeria ,1–0, Bulgaria,1998.0,,,,,,
Spain ,2–3, Nigeria,1998.0,,,,,,
Spain ,6–1, Bulgaria,1998.0,,,,,,
Paraguay ,0–0, Bulgaria,1998.0,,,,,,
Germany ,0–2, Brazil,2002.0,,,,,,
Japan ,1–0, Russia,2002.0,,,,,,
Russia ,2–0, Tunisia,2002.0,,,,,,
Japan ,2–2, Belgium,2002.0,,,,,,
Ecuador ,1–0, Croatia,2002.0,,,,,,
Mexico ,1–1, Italy,2002.0,,,,,,
Italy ,1–2, Croatia,2002.0,,,,,,
Tunisia ,1–1, Belgium,2002.0,,,,,,
Italy ,2–0, Ecuador,2002.0,,,,,,
Croatia ,0–1, Mexico,2002.0,,,,,,
Nigeria ,0–0, England,2002.0,,,,,,
Sweden ,1–1, Argentina,2002.0,,,,,,
Argentina ,0–1, England,2002.0,,,,,,
Mexico ,2–1, Ecuador,2002.0,,,,,,
Tunisia ,0–2, Japan,2002.0,,,,,,
Sweden ,1–2 (a.e.t.), Senegal,2002.0,,,,,,
Germany ,1–0, Paraguay,2002.0,,,,,,
Denmark ,0–3, England,2002.0,,,,,,
Spain ,1–1 (a.e.t.), Republic of Ireland,2002.0,,,,,,
Mexico ,0–2, United States,2002.0,,,,,,
Brazil ,2–0, Belgium,2002.0,,,,,,
South Korea ,2–1 (a.e.t.), Italy,2002.0,,,,,,
England ,1–2, Brazil,2002.0,,,,,,
Germany ,1–0, United States,2002.0,,,,,,
Spain ,0–0 (a.e.t.), South Korea,2002.0,,,,,,
Senegal ,0–1 (a.e.t.), Turkey,2002.0,,,,,,
Germany ,1–0, South Korea,2002.0,,,,,,
Brazil ,1–0, Turkey,2002.0,,,,,,
South Korea ,2–3, Turkey,2002.0,,,,,,
Sweden ,2–1, Nigeria,2002.0,,,,,,
Belgium ,3–2, Russia,2002.0,,,,,,
Japan ,0–1, Turkey,2002.0,,,,,,
England ,1–1, Sweden,2002.0,,,,,,
Saudi Arabia ,0–3, Republic of Ireland,2002.0,,,,,,
Argentina ,1–0, Nigeria,2002.0,,,,,,
France ,0–1, Senegal,2002.0,,,,,,
Uruguay ,1–2, Denmark,2002.0,,,,,,
Denmark ,1–1, Senegal,2002.0,,,,,,
France ,0–0, Uruguay,2002.0,,,,,,
Denmark ,2–0, France,2002.0,,,,,,
Senegal ,3–3, Uruguay,2002.0,,,,,,
Paraguay ,2–2, South Africa,2002.0,,,,,,
Spain ,3–1, Paraguay,2002.0,,,,,,
South Africa ,1–0, Slovenia,2002.0,,,,,,
South Africa ,2–3, Spain,2002.0,,,,,,
Slovenia ,1–3, Paraguay,2002.0,,,,,,
Brazil ,2–1, Turkey,2002.0,,,,,,
China ,0–2, Costa Rica,2002.0,,,,,,
Spain ,3–1, Slovenia,2002.0,,,,,,
Costa Rica ,1–1, Turkey,2002.0,,,,,,
Cameroon ,0–2, Germany,2002.0,,,,,,
Brazil ,4–0, China,2002.0,,,,,,
Cameroon ,1–0, Saudi Arabia,2002.0,,,,,,
Germany ,1–1, Republic of Ireland,2002.0,,,,,,
Germany ,8–0, Saudi Arabia,2002.0,,,,,,
Poland ,3–1, United States,2002.0,,,,,,
Portugal ,0–1, South Korea,2002.0,,,,,,
Republic of Ireland ,1–1, Cameroon,2002.0,,,,,,
South Korea ,1–1, United States,2002.0,,,,,,
United States ,3–2, Portugal,2002.0,,,,,,
South Korea ,2–0, Poland,2002.0,,,,,,
Turkey ,3–0, China,2002.0,,,,,,
Costa Rica ,2–5, Brazil,2002.0,,,,,,
Portugal ,4–0, Poland,2002.0,,,,,,
Spain ,3–1, Tunisia,2006.0,,,,,,
Switzerland ,2–0, South Korea,2006.0,,,,,,
Saudi Arabia ,0–4, Ukraine,2006.0,,,,,,
Tunisia ,2–2, Saudi Arabia,2006.0,,,,,,
Spain ,4–0, Ukraine,2006.0,,,,,,
Togo ,0–2, France,2006.0,,,,,,
Japan ,1–4, Brazil,2006.0,,,,,,
Italy ,1–1 (a.e.t.), France,2006.0,,,,,,
France ,1–1, South Korea,2006.0,,,,,,
France ,0–0, Switzerland,2006.0,,,,,,
South Korea ,2–1, Togo,2006.0,,,,,,
Croatia ,2–2, Australia,2006.0,,,,,,
Saudi Arabia ,0–1, Spain,2006.0,,,,,,
Togo ,0–2, Switzerland,2006.0,,,,,,
Ukraine ,1–0, Tunisia,2006.0,,,,,,
Germany ,3–1, Portugal,2006.0,,,,,,
Argentina ,2–1 (a.e.t.), Mexico,2006.0,,,,,,
England ,1–0, Ecuador,2006.0,,,,,,
Portugal ,1–0, Netherlands,2006.0,,,,,,
Italy ,1–0, Australia,2006.0,,,,,,
Switzerland ,0–0 (a.e.t.), Ukraine,2006.0,,,,,,
Brazil ,3–0, Ghana,2006.0,,,,,,
Spain ,1–3, France,2006.0,,,,,,
Germany ,1–1 (a.e.t.), Argentina,2006.0,,,,,,
Italy ,3–0, Ukraine,2006.0,,,,,,
England ,0–0 (a.e.t.), Portugal,2006.0,,,,,,
Brazil ,0–1, France,2006.0,,,,,,
Germany ,0–2 (a.e.t.), Italy,2006.0,,,,,,
Portugal ,0–1, France,2006.0,,,,,,
Brazil ,2–0, Australia,2006.0,,,,,,
Germany ,2–0, Sweden,2006.0,,,,,,
Japan ,0–0, Croatia,2006.0,,,,,,
United States ,0–3, Czech Republic,2006.0,,,,,,
Australia ,3–1, Japan,2006.0,,,,,,
Germany ,4–2, Costa Rica,2006.0,,,,,,
Poland ,0–2, Ecuador,2006.0,,,,,,
Germany ,1–0, Poland,2006.0,,,,,,
Ecuador ,3–0, Costa Rica,2006.0,,,,,,
Ecuador ,0–3, Germany,2006.0,,,,,,
Costa Rica ,1–2, Poland,2006.0,,,,,,
England ,1–0, Paraguay,2006.0,,,,,,
Trinidad and Tobago ,0–0, Sweden,2006.0,,,,,,
England ,2–0, Trinidad and Tobago,2006.0,,,,,,
Sweden ,1–0, Paraguay,2006.0,,,,,,
Sweden ,2–2, England,2006.0,,,,,,
Paraguay ,2–0, Trinidad and Tobago,2006.0,,,,,,
Argentina ,2–1, Ivory Coast,2006.0,,,,,,
Serbia and Montenegro ,0–1, Netherlands,2006.0,,,,,,
Brazil ,1–0, Croatia,2006.0,,,,,,
Netherlands ,2–1, Ivory Coast,2006.0,,,,,,
Ghana ,2–1, United States,2006.0,,,,,,
Czech Republic ,0–2, Italy,2006.0,,,,,,
Italy ,1–1, United States,2006.0,,,,,,
Czech Republic ,0–2, Ghana,2006.0,,,,,,
Argentina ,6–0, Serbia and Montenegro,2006.0,,,,,,
Iran ,1–1, Angola,2006.0,,,,,,
Italy ,2–0, Ghana,2006.0,,,,,,
Portugal ,2–0, Iran,2006.0,,,,,,
Mexico ,0–0, Angola,2006.0,,,,,,
Angola ,0–1, Portugal,2006.0,,,,,,
Mexico ,3–1, Iran,2006.0,,,,,,
Ivory Coast ,3–2, Serbia and Montenegro,2006.0,,,,,,
Netherlands ,0–0, Argentina,2006.0,,,,,,
Portugal ,2–1, Mexico,2006.0,,,,,,
Chile ,1–2, Spain,2010.0,,,,,,
Spain ,2–0, Honduras,2010.0,,,,,,
Chile ,1–0, Switzerland,2010.0,,,,,,
Spain ,0–1, Switzerland,2010.0,,,,,,
Honduras ,0–1, Chile,2010.0,,,,,,
Paraguay ,0–0, New Zealand,2010.0,,,,,,
Portugal ,0–0, Brazil,2010.0,,,,,,
Portugal ,7–0, North Korea,2010.0,,,,,,
Brazil ,3–1, Ivory Coast,2010.0,,,,,,
Brazil ,2–1, North Korea,2010.0,,,,,,
Ivory Coast ,0–0, Portugal,2010.0,,,,,,
Switzerland ,0–0, Honduras,2010.0,,,,,,
North Korea ,0–3, Ivory Coast,2010.0,,,,,,
Uruguay ,2–1, South Korea,2010.0,,,,,,
Netherlands ,2–1, Brazil,2010.0,,,,,,
Germany ,4–1, England,2010.0,,,,,,
Argentina ,3–1, Mexico,2010.0,,,,,,
Netherlands ,2–1, Slovakia,2010.0,,,,,,
Brazil ,3–0, Chile,2010.0,,,,,,
Paraguay ,0–0 (a.e.t.), Japan,2010.0,,,,,,
Spain ,1–0, Portugal,2010.0,,,,,,
Uruguay ,1–1 (a.e.t.), Ghana,2010.0,,,,,,
Argentina ,0–4, Germany,2010.0,,,,,,
Paraguay ,0–1, Spain,2010.0,,,,,,
Uruguay ,2–3, Netherlands,2010.0,,,,,,
Germany ,0–1, Spain,2010.0,,,,,,
Uruguay ,2–3, Germany,2010.0,,,,,,
Netherlands ,0–1 (a.e.t.), Spain,2010.0,,,,,,
Slovakia ,3–2, Italy,2010.0,,,,,,
United States ,1–2 (a.e.t.), Ghana,2010.0,,,,,,
Italy ,1–1, New Zealand,2010.0,,,,,,
Slovakia ,0–2, Paraguay,2010.0,,,,,,
South Africa ,1–1, Mexico,2010.0,,,,,,
New Zealand ,1–1, Slovakia,2010.0,,,,,,
Uruguay ,0–0, France,2010.0,,,,,,
South Africa ,0–3, Uruguay,2010.0,,,,,,
France ,0–2, Mexico,2010.0,,,,,,
Mexico ,0–1, Uruguay,2010.0,,,,,,
France ,1–2, South Africa,2010.0,,,,,,
South Korea ,2–0, Greece,2010.0,,,,,,
Argentina ,1–0, Nigeria,2010.0,,,,,,
Greece ,2–1, Nigeria,2010.0,,,,,,
Nigeria ,2–2, South Korea,2010.0,,,,,,
Greece ,0–2, Argentina,2010.0,,,,,,
England ,1–1, United States,2010.0,,,,,,
Algeria ,0–1, Slovenia,2010.0,,,,,,
Slovenia ,2–2, United States,2010.0,,,,,,
England ,0–0, Algeria,2010.0,,,,,,
Argentina ,4–1, South Korea,2010.0,,,,,,
United States ,1–0, Algeria,2010.0,,,,,,
Slovenia ,0–1, England,2010.0,,,,,,
Cameroon ,1–2, Netherlands,2010.0,,,,,,
Denmark ,1–3, Japan,2010.0,,,,,,
Cameroon ,1–2, Denmark,2010.0,,,,,,
Netherlands ,1–0, Japan,2010.0,,,,,,
Japan ,1–0, Cameroon,2010.0,,,,,,
Netherlands ,2–0, Denmark,2010.0,,,,,,
Italy ,1–1, Paraguay,2010.0,,,,,,
Ghana ,0–1, Germany,2010.0,,,,,,
Ghana ,1–1, Australia,2010.0,,,,,,
Germany ,0–1, Serbia,2010.0,,,,,,
Germany ,4–0, Australia,2010.0,,,,,,
Serbia ,0–1, Ghana,2010.0,,,,,,
Australia ,2–1, Serbia,2010.0,,,,,,
Germany ,1–0 (a.e.t.), Argentina,2014.0,,,,,,
South Korea ,0–1, Belgium,2014.0,,,,,,
South Korea ,2–4, Algeria,2014.0,,,,,,
Belgium ,1–0, Russia,2014.0,,,,,,
Russia ,1–1, South Korea,2014.0,,,,,,
Belgium ,2–1, Algeria,2014.0,,,,,,
Portugal ,2–1, Ghana,2014.0,,,,,,
Germany ,2–2, Ghana,2014.0,,,,,,
United States ,2–2, Portugal,2014.0,,,,,,
Ghana ,1–2, United States,2014.0,,,,,,
Germany ,4–0, Portugal,2014.0,,,,,,
Bosnia and Herzegovina ,3–1, Iran,2014.0,,,,,,
Nigeria ,2–3, Argentina,2014.0,,,,,,
United States ,0–1, Germany,2014.0,,,,,,
Algeria ,1–1, Russia,2014.0,,,,,,
Nigeria ,1–0, Bosnia and Herzegovina,2014.0,,,,,,
Colombia ,2–0, Uruguay,2014.0,,,,,,
Netherlands ,2–1, Mexico,2014.0,,,,,,
Costa Rica ,1–1 (a.e.t.), Greece,2014.0,,,,,,
France ,2–0, Nigeria,2014.0,,,,,,
Germany ,2–1 (a.e.t.), Algeria,2014.0,,,,,,
Argentina ,1–0 (a.e.t.), Switzerland,2014.0,,,,,,
Belgium ,2–1 (a.e.t.), United States,2014.0,,,,,,
France ,0–1, Germany,2014.0,,,,,,
Brazil ,2–1, Colombia,2014.0,,,,,,
Argentina ,1–0, Belgium,2014.0,,,,,,
Netherlands ,0–0 (a.e.t.), Costa Rica,2014.0,,,,,,
Brazil ,1–7, Germany,2014.0,,,,,,
Netherlands ,0–0 (a.e.t.), Argentina,2014.0,,,,,,
Brazil ,0–3, Netherlands,2014.0,,,,,,
Brazil ,1–1 (a.e.t.), Chile,2014.0,,,,,,
Argentina ,1–0, Iran,2014.0,,,,,,
Japan ,1–4, Colombia,2014.0,,,,,,
Argentina ,2–1, Bosnia and Herzegovina,2014.0,,,,,,
Iran ,0–0, Nigeria,2014.0,,,,,,
Brazil ,3–1, Croatia,2014.0,,,,,,
Mexico ,1–0, Cameroon,2014.0,,,,,,
Brazil ,0–0, Mexico,2014.0,,,,,,
Cameroon ,0–4, Croatia,2014.0,,,,,,
Cameroon ,1–4, Brazil,2014.0,,,,,,
Croatia ,1–3, Mexico,2014.0,,,,,,
Spain ,1–5, Netherlands,2014.0,,,,,,
Australia ,2–3, Netherlands,2014.0,,,,,,
Spain ,0–2, Chile,2014.0,,,,,,
Australia ,0–3, Spain,2014.0,,,,,,
Netherlands ,2–0, Chile,2014.0,,,,,,
Colombia ,3–0, Greece,2014.0,,,,,,
Ivory Coast ,2–1, Japan,2014.0,,,,,,
Chile ,3–1, Australia,2014.0,,,,,,
Japan ,0–0, Greece,2014.0,,,,,,
Colombia ,2–1, Ivory Coast,2014.0,,,,,,
Honduras ,0–3, Switzerland,2014.0,,,,,,
Honduras ,1–2, Ecuador,2014.0,,,,,,
Switzerland ,2–5, France,2014.0,,,,,,
France ,3–0, Honduras,2014.0,,,,,,
Costa Rica ,0–0, England,2014.0,,,,,,
Switzerland ,2–1, Ecuador,2014.0,,,,,,
Ecuador ,0–0, France,2014.0,,,,,,
Italy ,0–1, Costa Rica,2014.0,,,,,,
Uruguay ,2–1, England,2014.0,,,,,,
England ,1–2, Italy,2014.0,,,,,,
Uruguay ,1–3, Costa Rica,2014.0,,,,,,
Greece ,2–1, Ivory Coast,2014.0,,,,,,
Italy ,0–1, Uruguay,2014.0,,,,,,
Panama ,1–2, Tunisia,2018.0,,,,,,
Japan ,2–2, Senegal,2018.0,,,,,,
Poland ,1–2, Senegal,2018.0,,,,,,
Colombia ,1–2, Japan,2018.0,,,,,,
England ,0–1, Belgium,2018.0,,,,,,
Germany ,2–1, Sweden,2018.0,,,,,,
Belgium ,5–2, Tunisia,2018.0,,,,,,
Tunisia ,1–2, England,2018.0,,,,,,
Belgium ,3–0, Panama,2018.0,,,,,,
Mexico ,0–3, Sweden,2018.0,,,,,,
South Korea ,2–0, Germany,2018.0,,,,,,
Poland ,0–3, Colombia,2018.0,,,,,,
England ,6–1, Panama,2018.0,,,,,,
Japan ,0–1, Poland,2018.0,,,,,,
Croatia ,2–1 (a.e.t.), England,2018.0,,,,,,
France ,4–3, Argentina,2018.0,,,,,,
Uruguay ,2–1, Portugal,2018.0,,,,,,
Spain ,1–1 (a.e.t.), Russia,2018.0,,,,,,
Croatia ,1–1 (a.e.t.), Denmark,2018.0,,,,,,
Brazil ,2–0, Mexico,2018.0,,,,,,
Belgium ,3–2, Japan,2018.0,,,,,,
Sweden ,1–0, Switzerland,2018.0,,,,,,
Colombia ,1–1 (a.e.t.), England,2018.0,,,,,,
Uruguay ,0–2, France,2018.0,,,,,,
Brazil ,1–2, Belgium,2018.0,,,,,,
Sweden ,0–2, England,2018.0,,,,,,
Russia ,2–2 (a.e.t.), Croatia,2018.0,,,,,,
France ,1–0, Belgium,2018.0,,,,,,
South Korea ,1–2, Mexico,2018.0,,,,,,
Senegal ,0–1, Colombia,2018.0,,,,,,
Sweden ,1–0, South Korea,2018.0,,,,,,
Denmark ,0–0, France,2018.0,,,,,,
Switzerland ,2–2, Costa Rica,2018.0,,,,,,
Belgium ,2–0, England,2018.0,,,,,,
Russia ,5–0, Saudi Arabia,2018.0,,,,,,
Egypt ,0–1, Uruguay,2018.0,,,,,,
Russia ,3–1, Egypt,2018.0,,,,,,
Uruguay ,1–0, Saudi Arabia,2018.0,,,,,,
Uruguay ,3–0, Russia,2018.0,,,,,,
Saudi Arabia ,2–1, Egypt,2018.0,,,,,,
Morocco ,0–1, Iran,2018.0,,,,,,
Portugal ,3–3, Spain,2018.0,,,,,,
Portugal ,1–0, Morocco,2018.0,,,,,,
Iran ,0–1, Spain,2018.0,,,,,,
Iran ,1–1, Portugal,2018.0,,,,,,
Spain ,2–2, Morocco,2018.0,,,,,,
France ,2–1, Australia,2018.0,,,,,,
Peru ,0–1, Denmark,2018.0,,,,,,
Denmark ,1–1, Australia,2018.0,,,,,,
France ,1–0, Peru,2018.0,,,,,,
Australia ,0–2, Peru,2018.0,,,,,,
Argentina ,1–1, Iceland,2018.0,,,,,,
Croatia ,2–0, Nigeria,2018.0,,,,,,
Argentina ,0–3, Croatia,2018.0,,,,,,
Nigeria ,2–0, Iceland,2018.0,,,,,,
Nigeria ,1–2, Argentina,2018.0,,,,,,
Iceland ,1–2, Croatia,2018.0,,,,,,
Costa Rica ,0–1, Serbia,2018.0,,,,,,
Brazil ,1–1, Switzerland,2018.0,,,,,,
Brazil ,2–0, Costa Rica,2018.0,,,,,,
Serbia ,1–2, Switzerland,2018.0,,,,,,
Serbia ,0–2, Brazil,2018.0,,,,,,
Germany ,0–1, Mexico,2018.0,,,,,,
France ,4–2, Croatia,2018.0,,,,,,
,,,,France,Mexico,1930.0,4.0,1.0,5.0
,,,,Paraguay,Belgium,1930.0,1.0,0.0,1.0
,,,,United States,Paraguay,1930.0,3.0,0.0,3.0
,,,,Romania,Peru,1930.0,3.0,1.0,4.0
,,,,Chile,Mexico,1930.0,3.0,0.0,3.0
,,,,Chile,France,1930.0,1.0,0.0,1.0
,,,,United States,Belgium,1930.0,3.0,0.0,3.0
,,,,Uruguay,Romania,1930.0,4.0,0.0,4.0
,,,,Argentina,United States,1930.0,6.0,1.0,7.0
,,,,Argentina,Mexico,1930.0,6.0,3.0,9.0
,,,,Brazil,Bolivia,1930.0,4.0,0.0,4.0
,,,,Yugoslavia,Bolivia,1930.0,4.0,0.0,4.0
,,,,Argentina,France,1930.0,1.0,0.0,1.0
,,,,Uruguay,Yugoslavia,1930.0,6.0,1.0,7.0
,,,,Uruguay,Argentina,1930.0,4.0,2.0,6.0
,,,,Uruguay,Peru,1930.0,1.0,0.0,1.0
,,,,Yugoslavia,Brazil,1930.0,2.0,1.0,3.0
,,,,Argentina,Chile,1930.0,3.0,1.0,4.0
,,,,Czechoslovakia,Romania,1934.0,2.0,1.0,3.0
,,,,Sweden,Argentina,1934.0,3.0,2.0,5.0
,,,,Italy,Austria,1934.0,1.0,0.0,1.0
,,,,Spain,Brazil,1934.0,3.0,1.0,4.0
,,,,Hungary,Egypt,1934.0,4.0,2.0,6.0
,,,,Switzerland,Netherlands,1934.0,3.0,2.0,5.0
,,,,Italy,United States,1934.0,7.0,1.0,8.0
,,,,Czechoslovakia,Switzerland,1934.0,3.0,2.0,5.0
,,,,Czechoslovakia,Germany,1934.0,3.0,1.0,4.0
,,,,Austria,Hungary,1934.0,2.0,1.0,3.0
,,,,Italy,Spain,1934.0,1.0,1.0,2.0
,,,,Germany,Sweden,1934.0,2.0,1.0,3.0
,,,,Italy,Spain,1934.0,1.0,0.0,1.0
,,,,Germany,Austria,1934.0,3.0,2.0,5.0
,,,,Italy,Czechoslovakia,1934.0,2.0,1.0,3.0
